Name,TeamID
Quin Snyder,1
Joe Prunty,1
Nate McMillan,1
Joe Mazzulla,2
Jacque Vaughn,3
Steve Nash,3
Billy Donovan,4
Steve Clifford,5
J.B. Bickerstaff,6
Jason Kidd,7
Michael Malone,8
Dwane Casey,9
Steve Kerr,10
Stephen Silas,11
Rick Carlisle,12
Tyronn Lue,13
Darvin Ham,14
Taylor Jenkins,15
Erik Spoelstra,16
Mike Budenholzer,17
Chris Finch,18
Willie Green,19
Tom Thibodeau,20
Mark Daigneault,21
Jamahl Mosley,22
Doc Rivers,23
Monty Williams,24
Chauncey Billups,25
Mike Brown,26
Gregg Popovich,27
Nick Nurse,28
Will Hardy,29
Wes Unseld,30
