Player,TeamID,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼
Tyler Dorsey,7,3,0,8,18,22.5,0.8,4.5,9,0.5,13.5,13.5,1,0,0,0,4.5,4.5,9,0,0,0,0,0,40.5
Stanley Umude,9,1,0,2,0,18,0,0,18,0,0,0,0,36,36,1,0,0,0,0,18,18,0,0,36
Donovan Williams,1,2,0,4,18,45,0.4,0,18,0,18,27,0.667,0,0,0,0,18,18,0,0,0,0,0,36
Giannis Antetokounmpo,17,63,63,2024,12.6,22.7,0.553,0.8,3,0.275,11.7,19.7,0.596,8.9,13.7,0.645,2.4,10.8,13.2,6.4,0.9,0.9,4.4,3.5,34.8
Joel Embiid,23,66,66,2284,11.5,20.9,0.548,1,3.2,0.33,10.4,17.8,0.587,10.4,12.2,0.857,1.8,8.8,10.6,4.3,1,1.8,3.6,3.2,34.4
Luka Dončić,7,66,66,2391,10.8,21.8,0.496,2.8,8.1,0.342,8,13.7,0.588,7.8,10.4,0.742,0.8,7.8,8.6,8,1.4,0.5,3.6,2.5,32.2
Da16n Lillard,25,58,58,2107,9.5,20.5,0.463,4.2,11.2,0.371,5.3,9.3,0.574,8.7,9.5,0.914,0.8,4,4.7,7.3,0.9,0.3,3.3,1.9,31.9
Shai Gilgeous-Alexander,21,68,68,2416,10.5,20.6,0.51,0.9,2.5,0.345,9.6,18.1,0.533,10,11,0.905,0.9,4,4.9,5.5,1.7,1,2.9,2.9,31.8
Stephen Curry,10,56,56,1941,10.4,21,0.493,5.1,11.9,0.427,5.3,9.2,0.579,4.8,5.2,0.915,0.7,5.6,6.3,6.5,1,0.4,3.3,2.2,30.6
Ja Morant,15,61,59,1948,10.5,22.4,0.466,1.7,5.5,0.307,8.8,16.9,0.519,6.9,9.2,0.748,1.1,5.5,6.6,9.1,1.2,0.3,3.8,1.8,29.5
Kevin Durant,25,47,47,1672,10.4,18.6,0.56,2,5,0.404,8.4,13.6,0.617,6.6,7.2,0.919,0.4,6.4,6.7,5.1,0.7,1.4,3.4,2.1,29.4
Jayson Tatum,2,74,74,2732,9.6,20.5,0.466,3.2,9,0.35,6.4,11.5,0.558,7,8.2,0.854,1,7.5,8.6,4.5,1,0.7,2.8,2.1,29.3
