Player,Pos,Age,TeamID
Tyler Dorsey,SF,26,7
Stanley Umude,SG,23,9
Donovan Williams,SG,21,1
Giannis Antetokounmpo,PF,28,17
Joel Embiid,C,28,23
Luka Dončić,PG,23,7
Damian Lillard,PG,32,25
Shai Gilgeous-Alexander,PG,24,21
Stephen Curry,PG,34,10
Ja Morant,PG,23,15
Kevin Durant,PF,34,25
LeBron James,PF,38,2
Jayson Tatum,SF,24,14
Devin Booker,SG,26,24
Donovan Mitchell,SG,26,6
Zion Williamson,PF,22,19
Anthony Davis,C,29,14
Trae Young,PG,24,1
De'Aaron Fox,PG,25,26
Luka Garza,C,24,29
Lauri Markkanen,PF,25,18
Jaylen Brown,SF,26,2
Nikola Jokić,C,27,8
Kyrie Irving,PG-SG,30,7
Brandon Ingram,SF,25,19
Kristaps Porziņģis,C,27,30
Kawhi Leonard,SF,31,20
Julius Randle,PF,28,13
Bradley Beal,SG,29,30
Zach LaVine,SG,27,5
Louis King,PF,23,23
Jalen Brunson,PG,26,20
Jimmy Butler,PF,33,16
Anthony Edwards,SG,21,18
Paul George,SF,32,13
Kenneth Lofton Jr.,PF,20,10
Jordan Poole,PG,23,15
Desmond Bane,SG,24,15
DeMar DeRozan,SF,33,5
Bojan Bogdanović,PF,33,9
Keldon Johnson,SF,23,27
Chris Silva,PF,26,7
LaMelo Ball,PG,21,10
Klay Thompson,SF,32,4
Jaren Jackson Jr.,C,23,15
Norman Powell,SG,29,13
Jalen Green,SG,20,11
Pascal Siakam,PF,28,28
Christian Wood,C,27,7
Jordan Clarkson,SG,30,29
Cam Thomas,SG,21,3
Kelly Oubre Jr.,SF,27,4
Karl-Anthony Towns,PF,27,18
Naz Reid,C,23,18
Khris Middleton,SF,31,17
Duane Washington Jr.,SG,22,24
Tyrese Haliburton,PG,22,12
Mac McClung,SG,24,12
Myles Turner,C,26,23
Darius Garland,PG,23,6
Bones Hyland,PG,22,8
Jamal Murray,PG,25,13
Kyle Kuzma,PF,27,30
Malik Monk,SG,24,26
Tyrese Maxey,SG,22,23
Anfernee Simons,SG,23,25
Darius Days,SF,23,8
Michael Porter Jr.,SF,24,11
Cade Cunningham,PG,21,4
Boban Marjanović,C,34,9
Terry Rozier,SG,28,11
Collin Sexton,PG,24,29
Devin Vassell,SG,22,27
Jaden Hardy,SG,20,7
Deandre Ayton,C,24,24
Paolo Banchero,PF,20,22
Jrue Holiday,PG,32,17
CJ McCollum,PG,31,19
Bam Adebayo,C,25,16
Bennedict Mathurin,SG,20,12
Alec Burks,SG,31,9
RJ Barrett,SG,22,20
Brandon Boston Jr.,SF,21,13
Tony Bradley,C,25,25
Jerami Grant,PF,28,16
Tyler Herro,SG,23,5
Lindell Wigginton,PG,24,17
Malcolm Brogdon,PG,30,2
Willy Hernangómez,C,28,19
James Harden,PG,33,23
Franz Wagner,SF,21,22
Jonas Valančiūnas,C,30,19
Jarrell Brantley,PF,26,3
Mikal Bridges,SF-SG,26,1
Dejounte Murray,SG,26,29
Jaylen Nowell,SG,23,18
Kevin Porter Jr.,PG,22,11
Malcolm Hill,SF,27,5
Lester Quinones,SG,22,10
Domantas Sabonis,C,26,26
D'Angelo Russell,PG,26,14
Russell Westbrook,PG,34,13
Buddy Hield,SF,30,12
Cameron Johnson,PF,26,17
Bobby Portis,PF,27,28
Gary Trent Jr.,SG,24,3
Moritz Wagner,C,25,22
Patrick Baldwin Jr.,SF,20,8
Aaron Gordon,PF,27,10
Thomas Bryant,C,25,8
Jay Huff,C,24,30
Josh Giddey,PF,20,21
Talen Horton-Tucker,SG,22,29
Andrew Wiggins,SF,27,10
Moses Brown,C,23,28
Fred VanVleet,PG,28,5
Nikola Vučević,C,32,3
Hamidou Diallo,SF,24,9
JaVale McGee,C,35,7
Jaden Ivey,SG,20,9
Brook Lopez,C,34,17
A.J. Lawson,SG,22,7
James Wiseman,C,21,9
Julian Champagnie,SF,21,26
Kevin Huerter,SG,24,20
Immanuel Quickley,SG,23,27
Wendell Carter Jr.,C,23,30
Kendrick Nunn,SG,27,22
Edmond Sumner,SG,27,3
Brandon Clarke,PF,26,26
Terence Davis,SG,25,11
Kris Dunn,PG,28,15
Alperen Şengün,C,20,29
John Wall,PG,32,13
Marvin Bagley III,C,23,27
Dalano Banton,PG,23,9
Zach Collins,C,25,28
Cameron Payne,PG,28,24
Lonnie Walker IV,SG,24,14
Cole Anthony,PG,22,22
Spencer Dinwiddie,SG-PG,29,3
Jalen Smith,C,22,12
Saddiq Bey,SF,23,1
Bogdan Bogdanović,SG,30,1
Jusuf Nurkić,C,28,25
Jordan Schakel,SF,24,30
Kemba Walker,PG,32,7
Dylan Windler,SF,26,6
Doug McDermott,SF,31,27
Isaiah Joe,SG,23,21
Malik Beasley,SG,26,14
Kira Lewis Jr.,PG,21,19
Skylar Mays,PG,25,25
Rui Hachimura,PF,24,14
De'Andre Hunter,SF,25,1
Jared Butler,PG,22,4
P.J. Washington,PF,24,21
Omer Yurtseven,C,24,16
Nathan Knight,C,25,10
Jonathan Kuminga,PF,20,18
Josh Minott,SF,20,18
Svi Mykhailiuk,SF,25,4
OG Anunoby,SF,25,28
Dillon Brooks,SF,27,15
Josh Christopher,SG,21,11
